"","name","state"
"1",6,0
"2",8,0
"3",26,0
"4",34,0
"5",65,0
"6",66,0
"7",69,0
"8",70,0
"9",71,0
"10",75,0
"11",76,1
"12",98,0
"13",228,0
"14",233,0
"15",234,0
"16",240,0
"17",241,0
"18",242,0
"19",400,0
"20",401,0
"21",402,0
"22",403,0
"23",404,0
"24",405,1
"25",406,0
"26",408,0
"27",409,1
"28",410,0
"29",411,0
"30",412,0
"31",413,0
"32",414,1
"33",415,1
"34",416,0
"35",417,0
"36",418,0
"37",419,0
"38",420,1
"39",421,0
"40",423,0
"41",424,0
"42",425,0
"43",426,1
"44",427,1
"45",428,0
"46",429,0
"47",430,1
"48",431,1
"49",432,1
"50",433,0
"51",434,1
"52",435,1
"53",436,1
"54",437,0
"55",438,0
"56",439,0
"57",440,0
"58",441,1
"59",442,0
"60",443,0
"61",444,1
"62",445,1
"63",447,1
"64",448,1
"65",449,0
"66",450,1
"67",451,0
"68",452,1
"69",453,0
"70",454,1
"71",455,1
"72",456,1
"73",457,1
"74",458,1
"75",459,1
"76",460,0
"77",461,1
"78",462,1
"79",463,1
"80",464,1
"81",465,0
"82",466,0
"83",467,1
"84",468,0
"85",469,0
"86",470,1
"87",471,0
"88",472,1
"89",473,0
"90",474,1
"91",475,1
"92",1000,0
"93",1001,0
"94",1002,0
"95",1003,1
"96",1004,1
"97",1005,1
"98",1006,0
"99",1007,0
"100",1008,1
"101",1009,1
"102",1010,1
"103",1011,0
"104",1012,0
"105",1013,0
"106",1014,0
"107",1015,1
"108",1016,0
"109",1017,0
"110",1018,1
"111",1019,0
"112",1020,0
"113",1021,1
"114",1022,0
"115",1023,0
"116",1024,0
"117",1025,1
"118",1026,0
"119",1027,0
"120",1028,0
"121",1029,0
"122",1030,0
"123",1031,0
"124",1032,0
"125",1033,1
"126",1034,0
"127",1035,0
"128",1036,0
"129",1037,0
"130",1038,0
"131",1039,0
"132",1040,0
"133",1041,1
"134",1042,0
"135",1043,1
"136",1044,0
"137",1045,0
"138",1046,0
"139",1048,1
"140",1049,1
"141",1050,0
"142",1052,1
"143",1053,0
"144",1054,0
"145",1055,0
"146",1056,0
"147",1057,1
"148",1058,0
